crop_name,crop_type,growth_stage,stage_duration,disease,pest,soil_type,climate,season,fertilizer
Cà chua,FruitVegetable,Nảy mầm,7,Bệnh héo xanh,Sâu đục quả,Đất thịt nhẹ,Ấm áp,Xuân Hè,Phân NPK
Cà chua,FruitVegetable,Thắt thân,15,Bệnh héo xanh,Rệp muội,Đất thịt nhẹ,Ấm áp,Xuân Hè,Phân NPK
Cà chua,FruitVegetable,Ra hoa,30,Bệnh sương mai,Sâu đục quả,Đất thịt nhẹ,Ấm áp,Xuân Hè,Phân Hữu cơ
Cà chua,FruitVegetable,Đậu quả,25,Bệnh mốc sương,Rệp muội,Đất thịt nhẹ,Ấm áp,Xuân Hè,Phân Kali
Cà chua,FruitVegetable,Thu hoạch,20,Bệnh đốm lá,Sâu đục quả,Đất thịt nhẹ,Ấm áp,Xuân Hè,Phân Kali
Rau muống,LeafyVegetable,Nảy mầm,5,Bệnh thán thư,Sâu xanh,Đất phù sa,Nóng ẩm,Hè Thu,Phân đạm
Rau muống,LeafyVegetable,Phát triển thân lá,15,Bệnh gỉ sắt,Bọ nhảy,Đất phù sa,Nóng ẩm,Hè Thu,Phân đạm
Rau muống,LeafyVegetable,Thu hoạch,20,Bệnh thán thư,Sâu xanh,Đất phù sa,Nóng ẩm,Hè Thu,Phân đạm
Cà rốt,RootVegetable,Nảy mầm,10,Bệnh thối rễ,Tuyến trùng,Đất cát pha,Mát mẻ,Đông Xuân,Phân lân
Cà rốt,RootVegetable,Phát triển rễ,30,Bệnh cháy lá,Rệp sáp,Đất cát pha,Mát mẻ,Đông Xuân,Phân NPK
Cà rốt,RootVegetable,Hình thành củ,35,Bệnh thối đen,Tuyến trùng,Đất cát pha,Mát mẻ,Đông Xuân,Phân Kali
Cà rốt,RootVegetable,Thu hoạch,15,Bệnh thối rễ,Tuyến trùng,Đất cát pha,Mát mẻ,Đông Xuân,Phân Kali
Bắp cải,LeafyVegetable,Nảy mầm,8,Bệnh thối nhũn,Sâu tơ,Đất thịt nhẹ,Ôn hòa,Đông Xuân,Phân Hữu cơ
Bắp cải,LeafyVegetable,Phát triển lá,25,Bệnh thối nhũn,Sâu xanh,Đất thịt nhẹ,Ôn hòa,Đông Xuân,Phân đạm
Bắp cải,LeafyVegetable,Cuộn bắp,30,Bệnh sương mai,Sâu tơ,Đất thịt nhẹ,Ôn hòa,Đông Xuân,Phân NPK
Bắp cải,LeafyVegetable,Thu hoạch,15,Bệnh thối nhũn,Sâu tơ,Đất thịt nhẹ,Ôn hòa,Đông Xuân,Phân Kali
Mướp đắng,FruitVegetable,Nảy mầm,6,Bệnh sương mai,Bọ trĩ,Đất phù sa,Nóng ẩm,Xuân Hè,Phân Hữu cơ
Mướp đắng,FruitVegetable,Leo giàn,20,Bệnh héo rũ,Bọ trĩ,Đất phù sa,Nóng ẩm,Xuân Hè,Phân NPK
Mướp đắng,FruitVegetable,Ra hoa,15,Bệnh thán thư,Ruồi đục quả,Đất phù sa,Nóng ẩm,Xuân Hè,Phân NPK
Mướp đắng,FruitVegetable,Đậu quả,20,Bệnh sương mai,Ruồi đục quả,Đất phù sa,Nóng ẩm,Xuân Hè,Phân Kali
Mướp đắng,FruitVegetable,Thu hoạch,25,Bệnh thán thư,Ruồi đục quả,Đất phù sa,Nóng ẩm,Xuân Hè,Phân Kali
Dưa leo,FruitVegetable,Nảy mầm,5,Bệnh phấn trắng,Bọ trĩ,Đất cát pha,Ấm áp,Xuân Hè,Phân Hữu cơ
Dưa leo,FruitVegetable,Phát triển thân vòi,15,Bệnh sương mai,Sâu vẽ bùa,Đất cát pha,Ấm áp,Xuân Hè,Phân NPK
Dưa leo,FruitVegetable,Ra hoa,10,Bệnh phấn trắng,Bọ trĩ,Đất cát pha,Ấm áp,Xuân Hè,Phân NPK
Dưa leo,FruitVegetable,Đậu quả,15,Bệnh héo xanh,Bọ trĩ,Đất cát pha,Ấm áp,Xuân Hè,Phân Kali
Dưa leo,FruitVegetable,Thu hoạch,20,Bệnh phấn trắng,Sâu ăn lá,Đất cát pha,Ấm áp,Xuân Hè,Phân Kali
Khoai tây,RootVegetable,Nảy mầm,12,Bệnh mốc sương,Rệp muội,Đất tơi xốp,Mát mẻ,Đông Xuân,Phân Hữu cơ
Khoai tây,RootVegetable,Mọc mầm thân,20,Bệnh mốc sương,Sâu 28 chấm,Đất tơi xốp,Mát mẻ,Đông Xuân,Phân NPK
Khoai tây,RootVegetable,Hình thành củ,25,Bệnh héo xanh,Bọ trĩ,Đất tơi xốp,Mát mẻ,Đông Xuân,Phân Kali
Khoai tây,RootVegetable,Tích lũy tinh bột,30,Bệnh mốc sương,Tuyến trùng,Đất tơi xốp,Mát mẻ,Đông Xuân,Phân Kali
Khoai tây,RootVegetable,Thu hoạch,10,Bệnh thối củ,Tuyến trùng,Đất tơi xốp,Mát mẻ,Đông Xuân,Phân Kali
Hành tây,RootVegetable,Nảy mầm,12,Bệnh sương mai,Bọ trĩ,Đất tơi xốp,Mát mẻ,Đông Xuân,Phân Hữu cơ
Hành tây,RootVegetable,Phát triển lá,30,Bệnh cháy đầu lá,Bọ trĩ,Đất tơi xốp,Mát mẻ,Đông Xuân,Phân NPK
Hành tây,RootVegetable,Phát triển củ,40,Bệnh sương mai,Sâu ăn lá,Đất tơi xốp,Mát mẻ,Đông Xuân,Phân Kali
Hành tây,RootVegetable,Thu hoạch,15,Bệnh thối củ,Bọ trĩ,Đất tơi xốp,Mát mẻ,Đông Xuân,Phân Kali
Ớt,FruitVegetable,Nảy mầm,10,Bệnh thán thư,Bọ trĩ,Đất thịt nhẹ,Ấm áp,Quanh năm,Phân Hữu cơ
Ớt,FruitVegetable,Phát triển tán,25,Bệnh khảm lá,Rệp muội,Đất thịt nhẹ,Ấm áp,Quanh năm,Phân NPK
Ớt,FruitVegetable,Ra hoa,20,Bệnh thán thư,Bọ trĩ,Đất thịt nhẹ,Ấm áp,Quanh năm,Phân NPK
Ớt,FruitVegetable,Đậu quả,30,Bệnh thán thư,Sâu đục quả,Đất thịt nhẹ,Ấm áp,Quanh năm,Phân Kali
Ớt,FruitVegetable,Thu hoạch,45,Bệnh thán thư,Nhện đỏ,Đất thịt nhẹ,Ấm áp,Quanh năm,Phân Kali
Rau cải cúc,LeafyVegetable,Nảy mầm,4,Bệnh thối bẹ,Sâu đo,Đất phù sa,Mát mẻ,Đông Xuân,Phân đạm
Rau cải cúc,LeafyVegetable,Phát triển lá,15,Bệnh sương mai,Sâu xanh,Đất phù sa,Mát mẻ,Đông Xuân,Phân đạm
Rau cải cúc,LeafyVegetable,Thu hoạch,10,Bệnh thối bẹ,Sâu đo,Đất phù sa,Mát mẻ,Đông Xuân,Phân đạm
Đậu cô le,FruitVegetable,Nảy mầm,6,Bệnh gỉ sắt,Sâu đục quả,Đất cát pha,Ấm áp,Xuân Hè,Phân Hữu cơ
Đậu cô le,FruitVegetable,Leo giàn,20,Bệnh gỉ sắt,Rệp muội,Đất cát pha,Ấm áp,Xuân Hè,Phân NPK
Đậu cô le,FruitVegetable,Ra hoa,15,Bệnh thán thư,Sâu đục quả,Đất cát pha,Ấm áp,Xuân Hè,Phân NPK
Đậu cô le,FruitVegetable,Thu hoạch,25,Bệnh gỉ sắt,Sâu đục quả,Đất cát pha,Ấm áp,Xuân Hè,Phân Kali
Bí đỏ,FruitVegetable,Nảy mầm,7,Bệnh phấn trắng,Bọ trĩ,Đất thịt nhẹ,Ấm áp,Hè Thu,Phân Hữu cơ
Bí đỏ,FruitVegetable,Bò giàn,25,Bệnh phấn trắng,Sâu ăn lá,Đất thịt nhẹ,Ấm áp,Hè Thu,Phân NPK
Bí đỏ,FruitVegetable,Ra hoa,15,Bệnh sương mai,Bọ trĩ,Đất thịt nhẹ,Ấm áp,Hè Thu,Phân NPK
Bí đỏ,FruitVegetable,Đậu quả,40,Bệnh thối quả,Ruồi đục quả,Đất thịt nhẹ,Ấm áp,Hè Thu,Phân Kali
Bí đỏ,FruitVegetable,Thu hoạch,20,Bệnh phấn trắng,Ruồi đục quả,Đất thịt nhẹ,Ấm áp,Hè Thu,Phân Kali
